EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2016 Matthew,FLORIDA,Pasco, Hurricane/Tropical Storm,10/7/16,10/7/16,10,4,2016,1,FLZ149,12101,TROPICAL STORM,0,0,0,0,0,0,5000,6159.84,0.01,1
Hurricane 2016 Matthew,FLORIDA,Pasco, Hurricane/Tropical Storm,10/7/16,10/7/16,10,4,2016,1,,12101,NCDC_Tropical Storm,0,0,0,0,0,0,10000,12319.69,0.02,1
Hurricane 2017 Irma,FLORIDA,Pasco, Hurricane/Tropical Storm,9/8/17,9/11/17,9,3,2017,4,,12101,NCDC_Hurricane,0,0,0,0,0,0,7000000,8448845.55,16.09,4
Hurricane 2017 Irma,FLORIDA,Pasco, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12101,NCDC_Tropical Storm,0,0,0,0,0,0,3000000,3620933.81,6.9,2
Hurricane 2022 Ian,FLORIDA,Pasco, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12101,NCDC_Tropical Storm,0,0,0,0,0,0,25000,26602.54,0.04,1
Hurricane 2017 Irma,FLORIDA,Pinellas, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12103,NCDC_Hurricane,0,0,0,0,0,0,594450000,717488034,740.21,2
Hurricane 2022 Ian,FLORIDA,Pinellas, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12103,NCDC_Tropical Storm,0,0,0,0,0,0,50000000,53205073.47,55.32,1
Hurricane 2017 Irma,FLORIDA,Polk, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12105,NCDC_Hurricane,0,0,0,0,0,0,68980000,83257338.02,121.4,2
Hurricane 2017 Irma,FLORIDA,Polk, Tornado,9/10/17,9/10/17,9,3,2017,1,,12105,NCDC_Tornado,0,0,0,0,0,0,20000,24139.56,0.04,1
Hurricane 2022 Ian,FLORIDA,Polk, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12105,NCDC_Tropical Storm,2,0,1,0,0,0,50000000,53205073.47,67.49,1
Hurricane 2016 Matthew,FLORIDA,Putnam, Hurricane/Tropical Storm,10/6/16,10/8/16,10,4,2016,3,,12107,NCDC_Tropical Storm,1,0,3,0,0,0,0,0,0,0
Hurricane 2022 Ian,FLORIDA,Putnam, Hurricane/Tropical Storm,9/28/22,9/30/22,9,3,2022,3,,12107,NCDC_Tropical Storm,3,0,3,0,0,0,0,0,0,0
Hurricane 2017 Harvey,FLORIDA,Santa Rosa, Lightning,8/31/17,8/31/17,8,3,2017,1,,12113,NCDC_Lightning,0,0,0,0,0,0,30000,36209.34,0.21,1
Hurricane 2020 Sally,FLORIDA,Santa Rosa, Hurricane/Tropical Storm,9/15/20,9/16/20,9,3,2020,2,,12113,NCDC_Tropical Storm,0,0,0,0,0,0,115800000,133003240.3,703.68,2
Hurricane 2017 Irma,FLORIDA,Sarasota, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12115,NCDC_Hurricane,0,0,0,0,0,0,8000000,9655823.49,23.01,2
