EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2022 Ian,FLORIDA,Hardee, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12049,NCDC_Hurricane,4,0,1,0,0,0,1000000,1064101.47,41.48,1
Hurricane 2017 Irma,FLORIDA,Hendry, Flooding,9/10/17,9/14/17,9,3,2017,5,,12051,NCDC_Flood,0,0,0,0,0,0,20000,24139.56,0.59,5
Hurricane 2022 Ian,FLORIDA,Hendry, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12051,NCDC_Hurricane,0,0,0,0,0,0,419000,445858.52,10.77,1
Hurricane 2017 Irma,FLORIDA,Hernando, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12053,NCDC_Tropical Storm,0,0,0,0,0,0,500000,603488.97,3.23,2
Hurricane 2017 Irma,FLORIDA,Hernando, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12053,NCDC_Tropical Storm,0,0,0,0,0,0,600000,724186.76,3.88,2
Hurricane 2022 Ian,FLORIDA,Hernando, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12053,NCDC_Tropical Storm,0,0,0,0,0,0,25000,26602.54,0.13,1
Hurricane 2017 Irma,FLORIDA,Highlands, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12055,NCDC_Hurricane,0,0,0,0,0,0,360000000,434512057,4175.59,2
Hurricane 2022 Ian,FLORIDA,Highlands, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12055,NCDC_Tropical Storm,0,0,0,0,0,0,100000,106410.15,1.01,1
Hurricane 2017 Irma,FLORIDA,Hillsborough, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12057,NCDC_Hurricane,0,0,0,0,0,0,7000000,8448845.55,5.99,2
Hurricane 2017 Irma,FLORIDA,Hillsborough, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12057,NCDC_Hurricane,0,0,0,0,0,0,6950000,8388496.65,5.95,2
Hurricane 2017 Irma,FLORIDA,Hillsborough, Flooding,9/10/17,9/16/17,9,3,2017,7,,12057,NCDC_Flood,0,0,0,0,0,0,2000000,2413955.87,1.71,7
Hurricane 2022 Ian,FLORIDA,Hillsborough, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12057,NCDC_Tropical Storm,3,0,1,0,0,0,59000000,62781986.7,41.48,1
Hurricane 2017 Irma,FLORIDA,Holmes, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12059,NCDC_Tropical Storm,0,0,0,0,0,0,50000,60348.9,3.1,2
Hurricane 2018 Michael,FLORIDA,Holmes, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12059,NCDC_Tropical Storm,0,0,0,0,0,0,250000,299732.9,15.39,1
Hurricane 2020 Sally,FLORIDA,Holmes, Flooding,9/16/20,9/16/20,9,3,2020,1,,12059,NCDC_Flash Flood,0,0,0,0,0,0,8500000,9762759.43,498.66,1
Hurricane 2016 Matthew,FLORIDA,Indian River, Hurricane/Tropical Storm,10/6/16,10/7/16,10,4,2016,2,,12061,NCDC_Hurricane,0,0,0,0,0,0,15800000,19465102.39,128.7,2
Hurricane 2016 Matthew,FLORIDA,Indian River, Flooding,10/6/16,10/7/16,10,4,2016,2,,12061,NCDC_Storm Surge/Tide,0,0,0,0,0,0,13000000,16015590.58,105.89,2
Hurricane 2017 Irma,FLORIDA,Indian River, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12061,NCDC_Tropical Storm,0,0,0,0,0,0,1500000,1810466.9,11.73,2
Hurricane 2017 Irma,FLORIDA,Indian River, Flooding,9/10/17,9/10/17,9,3,2017,1,,12061,NCDC_Flash Flood,0,0,0,0,0,0,50000,60348.9,0.39,1
Hurricane 2017 Irma,FLORIDA,Jackson, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12063,NCDC_Tropical Storm,0,0,0,0,0,0,250000,301744.48,6.24,2
Hurricane 2018 Michael,FLORIDA,Jackson, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12063,NCDC_Hurricane,1,0,1,0,0,0,500000000,599465798.9,12410.02,1
Hurricane 2020 Sally,FLORIDA,Jackson, Flooding,9/16/20,9/16/20,9,3,2020,1,,12063,NCDC_Flash Flood,0,0,0,0,0,0,7000000,8039919.53,170.71,1
Hurricane 2017 Irma,FLORIDA,Jefferson, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12065,NCDC_Tropical Storm,0,0,0,0,0,0,900000,1086280.14,76.79,2
Hurricane 2017 Irma,FLORIDA,Jefferson, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12065,NCDC_Tropical Storm,0,0,0,0,0,0,100000,120697.79,8.53,2
Hurricane 2018 Michael,FLORIDA,Jefferson, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12065,NCDC_Tropical Storm,0,0,0,0,0,0,10000,11989.32,0.84,1
Hurricane 2018 Michael,FLORIDA,Jefferson, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12065,NCDC_Tropical Storm,0,0,0,0,0,0,90000,107903.84,7.55,1
Hurricane 2017 Irma,FLORIDA,Lafayette, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12067,NCDC_Tropical Storm,0,0,0,0,0,0,3000000,3620933.81,419.92,2
Hurricane 2018 Michael,FLORIDA,Lafayette, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12067,NCDC_Tropical Storm,0,0,0,0,0,0,100000,119893.16,13.73,1
Hurricane 2017 Irma,FLORIDA,Lake, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,Lake,12069,"Tropical Storm, M85",0,0,0,0,0,0,12166666.67,14684898.22,42.55,2
Hurricane 2022 Ian,FLORIDA,Lake, Flooding,9/28/22,9/29/22,9,3,2022,2,,12069,NCDC_Flood,0,0,0,0,0,0,4500000,4788456.61,11.68,2
Hurricane 2017 Irma,FLORIDA,Lee, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12071,NCDC_Hurricane,1,0,2,0,0,0,163140000,196906380.5,266.27,2
Hurricane 2017 Irma,FLORIDA,Lee, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12071,NCDC_Hurricane,0,0,0,0,0,0,163140000,196906380.5,266.27,2
Hurricane 2017 Irma,FLORIDA,Lee, Flooding,9/10/17,9/13/17,9,3,2017,4,,12071,NCDC_Flood,0,0,0,0,0,0,500000000,603488968,816.07,4
Hurricane 2022 Ian,FLORIDA,Lee, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12071,NCDC_Hurricane,60,0,1,0,0,0,7000000000,7448710286,9057.38,1
Hurricane 2017 Irma,FLORIDA,Leon, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12073,NCDC_Tropical Storm,0,0,0,0,0,0,7500000,9052334.52,31.08,2
Hurricane 2018 Michael,FLORIDA,Leon, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12073,NCDC_Hurricane,0,0,0,0,0,0,100000000,119893159.8,409.89,1
Hurricane 2020 Sally,FLORIDA,Leon," Severe Storm/Thunder Storm, Wind",9/12/20,9/12/20,9,3,2020,1,,12073,NCDC_Thunderstorm Wind,0,0,0,0,0,0,1000,1148.56,0,1
Hurricane 2020 Sally,FLORIDA,Leon," Severe Storm/Thunder Storm, Wind",9/16/20,9/16/20,9,3,2020,1,,12073,NCDC_Thunderstorm Wind,0,0,0,0,0,0,2000,2297.12,0.01,1
Hurricane 2020 Sally,FLORIDA,Leon," Severe Storm/Thunder Storm, Wind",9/16/20,9/16/20,9,3,2020,1,,12073,NCDC_Thunderstorm Wind,0,0,0,0,0,0,6000,6891.36,0.02,1
Hurricane 2017 Irma,FLORIDA,Levy, Hurricane/Tropical Storm,9/11/17,9/11/17,9,3,2017,1,,12075,NCDC_Tropical Storm,0,0,0,0,0,0,130000,156907.13,3.89,1
Hurricane 2017 Irma,FLORIDA,Levy, Hurricane/Tropical Storm,9/11/17,9/11/17,9,3,2017,1,,12075,NCDC_Tropical Storm,0,0,0,0,0,0,130000,156907.13,3.89,1
Hurricane 2018 Michael,FLORIDA,Levy, Flooding,10/10/18,10/10/18,10,4,2018,1,,12075,NCDC_Storm Surge/Tide,0,0,0,0,0,0,80000,95914.53,2.35,1
Hurricane 2022 Ian,FLORIDA,Levy, Hurricane/Tropical Storm,9/28/22,9/28/22,9,3,2022,1,,12075,NCDC_Tropical Storm,0,0,0,0,0,0,10000,10641.01,0.24,1
Hurricane 2017 Irma,FLORIDA,Liberty, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12077,NCDC_Tropical Storm,0,0,0,0,0,0,50000,60348.9,7.32,2
Hurricane 2018 Michael,FLORIDA,Liberty, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12077,NCDC_Hurricane,0,0,0,0,0,0,450000000,539519219,63795.58,1
Hurricane 2017 Irma,FLORIDA,Madison, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12079,NCDC_Tropical Storm,0,0,0,0,0,0,2000000,2413955.87,130.73,2
Hurricane 2018 Michael,FLORIDA,Madison, Hurricane/Tropical Storm,10/10/18,10/10/18,10,4,2018,1,,12079,NCDC_Tropical Storm,0,0,0,0,0,0,100000,119893.16,6.47,1
Hurricane 2017 Irma,FLORIDA,Manatee, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12081,NCDC_Hurricane,1,0,2,0,0,0,15300000,18466762.42,47.91,2
Hurricane 2017 Irma,FLORIDA,Manatee, Hurricane/Tropical Storm,9/10/17,9/11/17,9,3,2017,2,,12081,NCDC_Hurricane,0,0,0,0,0,0,3000000,3620933.81,9.39,2
